SeasonType,Season,Conference,Division,Team,Name,Wins,Losses,Ties,Percentage,PointsFor,PointsAgainst,NetPoints,Touchdowns,DivisionWins,DivisionLosses,ConferenceWins,ConferenceLosses
1,2016,AFC,East,NE,New England Patriots,1,0,0,1.000,23,21,2,2,0,0,0,0
1,2016,AFC,East,NYJ,New York Jets,1,1,0,0.500,59,54,5,6,1,0,1,1
1,2016,AFC,East,BUF,Buffalo Bills,0,2,0,0.000,38,50,-12,5,0,1,0,2
1,2016,AFC,East,MIA,Miami Dolphins,0,1,0,0.000,10,12,-2,2,0,0,0,0
1,2016,AFC,North,BAL,Baltimore Ravens,1,0,0,1.000,13,7,6,1,0,0,1,0
1,2016,AFC,North,CIN,Cincinnati Bengals,1,0,0,1.000,23,22,1,2,0,0,1,0
1,2016,AFC,North,PIT,Pittsburgh Steelers,1,0,0,1.000,38,16,22,5,0,0,0,0
1,2016,AFC,North,CLE,Cleveland Browns,0,1,0,0.000,10,29,-19,1,0,0,0,0
1,2016,AFC,South,HOU,Houston Texans,1,0,0,1.000,23,14,9,2,0,0,0,0
1,2016,AFC,South,IND,Indianapolis Colts,0,1,0,0.000,35,39,-4,4,0,0,0,0
1,2016,AFC,South,JAX,Jacksonville Jaguars,0,1,0,0.000,23,27,-4,2,0,0,0,0
1,2016,AFC,South,TEN,Tennessee Titans,0,1,0,0.000,16,25,-9,2,0,0,0,0
1,2016,AFC,West,OAK,Oakland Raiders,1,0,0,1.000,35,34,1,4,0,0,0,0
1,2016,AFC,West,KC,Kansas City Chiefs,1,0,0,1.000,33,27,6,4,1,0,1,0
1,2016,AFC,West,DEN,Denver Broncos,1,0,0,1.000,21,20,1,3,0,0,0,0
1,2016,AFC,West,SD,San Diego Chargers,0,1,0,0.000,27,33,-6,3,0,1,0,1
1,2016,NFC,East,PHI,Philadelphia Eagles,1,0,0,1.000,29,10,19,3,0,0,0,0
1,2016,NFC,East,NYG,New York Giants,1,0,0,1.000,20,19,1,3,1,0,1,0
1,2016,NFC,East,WAS,Washington Redskins,0,1,0,0.000,16,38,-22,1,0,0,0,0
1,2016,NFC,East,DAL,Dallas Cowboys,0,1,0,0.000,19,20,-1,1,0,1,0,1
1,2016,NFC,North,DET,Detroit Lions,1,0,0,1.000,39,35,4,5,0,0,0,0
1,2016,NFC,North,GB,Green Bay Packers,1,0,0,1.000,27,23,4,3,0,0,0,0
1,2016,NFC,North,MIN,Minnesota Vikings,1,0,0,1.000,25,16,9,2,0,0,0,0
1,2016,NFC,North,CHI,Chicago Bears,0,1,0,0.000,14,23,-9,2,0,0,0,0
1,2016,NFC,South,TB,Tampa Bay Buccaneers,1,0,0,1.000,31,24,7,4,1,0,1,0
1,2016,NFC,South,NO,New Orleans Saints,0,1,0,0.000,34,35,-1,4,0,0,0,0
1,2016,NFC,South,CAR,Carolina Panthers,0,1,0,0.000,20,21,-1,2,0,0,0,0
1,2016,NFC,South,ATL,Atlanta Falcons,0,1,0,0.000,24,31,-7,2,0,1,0,1
1,2016,NFC,West,SEA,Seattle Seahawks,1,0,0,1.000,12,10,2,1,0,0,0,0
1,2016,NFC,West,SF,San Francisco 49ers,1,0,0,1.000,28,0,28,4,1,0,1,0
1,2016,NFC,West,ARI,Arizona Cardinals,0,1,0,0.000,21,23,-2,3,0,0,0,0
1,2016,NFC,West,LA,Los Angeles Rams,0,1,0,0.000,0,28,-28,0,0,1,0,1
